"Rank","WSID","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"145","","Cameron Meredith","NO","WR63","6","113","213","152.0","32.4","143.0","-2.0"
"146","","Matt Breida","SF","RB50","11","98","170","142.2","24.9","155.0","+9.0"
"147","","Dak Prescott","DAL","QB19","8","126","159","142.2","12.9","135.0","-12.0"
"148","","Tyler Eifert","CIN","TE16","9","114","180","151.0","21.5","137.0","-11.0"
"149","","Calvin Ridley","ATL","WR64","8","114","190","152.1","23.9","116.0","-33.0"
"150","","Ted Ginn","NO","WR65","6","109","207","146.0","34.1","174.0","+24.0"
"151","","Mike Williams","LAC","WR66","8","96","210","155.9","35.2","132.0","-19.0"
"152","","Aaron Jones","GB","RB51","7","82","236","153.7","53.5","105.0","-47.0"
"153","","John Ross","CIN","WR67","9","119","239","155.7","41.1","200.0","+47.0"
"154","","Frank Gore","MIA","RB52","11","114","180","149.7","24.3","199.0","+45.0"
"155","","Blake Bortles","JAC","QB20","9","122","184","152.5","19.3","177.0","+22.0"
"156","","Mike Wallace","PHI","WR68","9","126","228","163.6","30.7","264.0","+108.0"
"157","","Doug Martin","OAK","RB53","7","116","221","156.3","33.5","156.0","-1.0"
"158","","Cameron Brate","TB","TE17","5","139","196","160.7","23.4","184.0","+26.0"
"159","","Theo Riddick","DET","RB54","6","105","192","161.4","26.1","168.0","+9.0"
"160","","Chris Godwin","TB","WR69","5","118","233","170.6","41.8","180.0","+20.0"
"161","","Mitch Trubisky","CHI","QB21","5","123","181","157.3","19.5","167.0","+6.0"
"162","","Andy Dalton","CIN","QB22","9","130","203","157.7","25.2","211.0","+49.0"
"163","","Ricky Seals-Jones","ARI","TE18","9","107","218","166.0","39.1","216.0","+53.0"
"164","","Jacksonville (JAC)","","DST1","9","128","226","154.8","36.0","107.0","-57.0"
"165","","Austin Ekeler","LAC","RB55","8","122","212","166.6","29.0","166.0","+1.0"
"166","","Quincy Enunwa","NYJ","WR70","11","100","242","176.6","47.3","274.0","+108.0"
"167","","Minnesota (MIN)","","DST2","10","132","227","157.0","35.7","124.0","-43.0"
"168","","Adrian Peterson","WAS","RB56","4","89","144","119.3","22.8","232.0","+64.0"
"169","","D'Onta Foreman","HOU","RB57","10","119","262","175.4","40.4","140.0","-29.0"
"170","","Ryan Grant","IND","WR71","9","119","235","160.4","40.9","290.0","+120.0"
"171","","Eric Ebron","IND","TE19","9","151","186","167.6","11.6","193.0","+22.0"
"172","","Jermaine Kearse","NYJ","WR72","11","111","221","167.0","34.0","277.0","+105.0"
"173","","Eli Manning","NYG","QB23","9","129","200","164.3","28.4","169.0","-4.0"
"174","","Chris Ivory","BUF","RB58","11","126","227","174.1","32.9","235.0","+61.0"
"175","","Austin Hooper","ATL","TE20","8","116","208","172.1","29.0","213.0","+38.0"
"176","","Derek Carr","OAK","QB24","7","131","188","166.5","19.0","130.0","-46.0"
"177","","Austin Seferian-Jenkins","JAC","TE21","9","136","210","172.7","24.0","182.0","+5.0"
"178","","Martavis Bryant","OAK","WR73","7","145","212","168.5","24.5","165.0","-13.0"
"179","","Dede Westbrook","JAC","WR74","9","125","211","170.0","33.0","171.0","-8.0"
"180","","LeGarrette Blount","DET","RB59","6","115","195","167.2","31.7","148.0","-32.0"
"181","","T.J. Yeldon","JAC","RB60","9","140","208","171.8","26.2","214.0","+33.0"
"182","","Philadelphia (PHI)","","DST3","9","137","228","169.6","32.2","129.0","-53.0"
"183","","Jordan Wilkins","IND","RB61","9","139","196","157.5","22.6","163.0","-20.0"
"184","","Charles Clay","BUF","TE22","11","162","202","176.3","15.1","217.0","+33.0"
"185","","Danny Amendola","MIA","WR75","11","152","222","176.7","28.0","247.0","+62.0"
"186","","Nyheim Hines","IND","RB62","9","128","204","173.3","27.6","150.0","-36.0"
"187","","Donte Moncrief","JAC","WR76","9","104","227","180.6","34.9","237.0","+50.0"
"188","","Christian Kirk","ARI","WR77","9","132","206","168.8","29.6","196.0","+8.0"
"189","","Albert Wilson","MIA","WR78","11","120","215","171.4","30.9","291.0","+102.0"
"190","","Houston (HOU)","","DST4","10","142","231","175.6","31.7","151.0","-39.0"
"191","","Taywan Taylor","TEN","WR79","8","151","198","170.8","18.2","265.0","+74.0"
"192","","Los Angeles (LAC)","","DST5","8","144","230","178.0","31.4","142.0","-50.0"
"193","","Robert Kelley","WAS","RB63","4","106","189","153.3","34.9","144.0","-49.0"
"194","","Kenneth Dixon","BAL","RB64","10","134","248","187.6","44.5","218.0","+24.0"
"195","","Jordan Matthews","FA","WR80","","106","161","133.5","27.5","243.0","+48.0"
"196","","Los Angeles (LAR)","","DST6","12","146","229","179.8","30.4","119.0","-77.0"
"197","","Courtland Sutton","DEN","WR81","10","146","223","179.2","29.0","207.0","+10.0"
"198","","Ryan Tannehill","MIA","QB25","11","154","212","178.6","19.1","222.0","+24.0"
"199","","Geronimo Allison","GB","WR82","7","159","238","194.3","29.0","195.0","-4.0"
"200","","Benjamin Watson","NO","TE23","6","167","198","184.7","11.9","210.0","+10.0"
"201","","James Washington","PIT","WR83","7","155","232","196.4","28.3","209.0","+8.0"
"202","","Terrance Williams","DAL","WR84","8","164","222","191.4","21.4","269.0","+67.0"
"203","","Dante Pettis","SF","WR85","11","140","260","198.6","35.3","267.0","+64.0"
"204","","Stephen Gostkowski","NE","K1","11","164","233","183.3","28.8","122.0","-82.0"
"205","","Greg Zuerlein","LAR","K2","12","166","234","187.0","24.3","126.0","-79.0"
